canonical_model_key,quant,repos,downloads
acereason-nemotron-7b-abliterated,q2,1,49
acereason-nemotron-7b-abliterated,q4,2,46
acereason-nemotron-7b-abliterated,q5,2,337
acereason-nemotron-7b-abliterated,q6,1,19
acereason-nemotron-7b-abliterated,q8,1,21
adapter-model,fp32,1,3
adapter-model,nf4,1,2
adapter-model,none,94,164
adapter-model,q2,4,0
adapter-model,q3,6,0
adapter-model,q4,8,0
adapter-model,q5,3,0
adapter-model,q6,3,0
adapter-model,q8,4,37
agentic-qwen3-4b-e12-lr4-b2-unfiltered,q2,1,284
ai-companion-emotional-roleplay-2025,none,1,0
aiaf-nozomi-matsuoka-ponyxl,none,1,0
aisi,none,1,0
ajibawa-2023-uncensored-jordan-13b-k-s,q2,1,17
ajibawa-2023-uncensored-jordan-7b-k-s,q2,1,7
albert-base-v2,none,1,16
alientelligence-roleplaymaster-llama-8-03b,q4,1,0
alpaca-roleplay,none,1,0
am-thinking-v1,none,1,126
am-thinking-v1-abliterated,q2,3,611
anjir-8b-l3,none,1,7
antiwoke-1b-roleplay,none,1,7
apollo-0-5b,q8,1,11
apollo-0-5b-xs,q2,1,89
apollo-1-8b-nl,q2,1,50
apollo-2b,q2,1,147
apollo-2b,q8,1,8
apollo-2b-xs,q2,1,39
apollo-6b,q8,1,4
apollo-6b-xs,q2,1,68
apollo-7b,none,4,30
apollo-7b-xs,q2,2,159
apriel-5b-instruct,none,1,13
arcee-blitz,none,1,83
arcee-blitz-abliterated,q2,2,353
arcee-blitz-abliterated,q3,3,15
arcee-blitz-abliterated,q4,2,23
arcee-blitz-abliterated,q5,2,21
arcee-blitz-abliterated,q6,1,18
arliai-llama-3-8b-dolfin-v0-6-abliterated,q2,6,493
arliai-llama-3-8b-dolfin-v0-6-abliterated-dpo,q2,1,52
ast-jailbreak-classification,none,1,0
athene-v2-chat,none,1,7
athene-v2-chat-abliterated,q2,2,276
athene-v2-chat-abliterated-k-m,q4,1,27
aura-llama-abliterated,q2,2,242
aura-llama-abliterated-v3,q2,1,206
aura-llama3,none,5,55
aura-llama3,q3,1,393
aura-uncensored-l3-8b,none,6,36
aura-uncensored-l3-8b,q2,1,206
aura-uncensored-l3-8b-0-4-4,q2,1,420
aura-uncensored-oas-8b-l3,none,1,6
aura-uncensored-oas-8b-l3,q2,4,737
aura-uncensored-oas-8b-l3-xs,q2,1,81
awanllm-llama-3-8b-dolfin-v0-6-abliterated-dpo,q2,1,60
aya-23-8b,none,1,3
aya-expanse-32b,none,1,21
aya-expanse-32b-abliterated,none,1,32
aya-expanse-32b-abliterated,q2,2,836
aya-expanse-32b-abliterated,q4,4,54
aya-expanse-32b-abliterated,q5,2,6
aya-expanse-32b-abliterated,q6,1,8
aya-expanse-32b-abliterated,q8,1,9
aya-expanse-8b,none,2,2172
aya-expanse-8b,q4,3,134
aya-expanse-8b-abliterated,fp16,1,33
aya-expanse-8b-abliterated,q2,2,568
aya-expanse-8b-abliterated,q4,9,105
aya-expanse-8b-abliterated,q5,2,9
aya-expanse-8b-abliterated,q6,1,4
aya-expanse-8b-abliterated,q8,2,14
babymistral,none,1,54
badmistral-1-5b-nl,q2,1,307
baichuan-m2-32b-abliterated,q2,2,14775
barcenas-tiny-1-1b-dpo,none,2,140
bellatrix-tiny-1b-r1,none,1,13
bellatrix-tiny-1b-r1-abliterated,q2,1,1487
bellatrix-tiny-1b-v2,none,1,8
bellatrix-tiny-1b-v2-abliterated,q2,1,1543
bellatrix-tiny-1b-v3,none,1,8
bellatrix-tiny-1b-v3-abliterated,q2,1,1522
bellatrix-tiny-3b-r1,none,1,4
bellatrix-tiny-3b-r1-abliterated,q2,2,4442
belle,none,1,2
best-mlp-model,none,1,0
best-model,none,1,0
blast-processing-3-2-1b,none,1,8
bllossom-aica-5b-roleplay-sft-2,none,1,0
bluepencilxl-v500,none,1,0
bogush-freedom-gasmask,none,1,0
boto-9b-portuguese-abliterated,q2,2,368
buddyglassuncensored2025-2,q4,1,20
c4ai-command-a-03-2025,none,1,3
c4ai-command-a-03-2025-abliterated,q2,2,147
c4ai-command-r7b-12-2024,none,1,108
c4ai-command-r7b-12-2024-abliterated,bf16,1,844
c4ai-command-r7b-12-2024-abliterated,q2,2,800
calme-2-3-llama3-1-70b,none,2,7
camel-13b-role-playing-data,none,2,20
camel-13b-role-playing-data,q2,3,760
camel-13b-role-playing-data-k-l,fp16,1,16
camel-13b-role-playing-data-superhot-8k-ggmlv3-k-l,q2,1,0
camel-13b-roleplay-ggmlv3-k-l,q2,1,0
camel13b-ggml-model,none,1,0
carsenk-llama3-2-1b-2025-uncensored-v2,q8,1,5
chai-ddpo,none,4,12
character-ai-roleplay-unfiltered,none,1,0
chatframe-uncensored-instruct-small,q2,2,302
chatframe-uncensored-instruct-small-xs,q2,1,284
checkpoint-1000-adapter-model,none,1,0
checkpoint-10000-model,none,1,0
checkpoint-10000-model-00001-of-00002,none,1,0
checkpoint-104-global-step104-zero-pp-rank-0-mp-rank-00-optim-states,bf16,1,3
checkpoint-10400,none,1,0
checkpoint-1250-model-00001-of-00006,none,1,2
checkpoint-14-global-step13-zero-pp-rank-0-mp-rank-00-optim-states,bf16,1,0
checkpoint-1700-adapter-model,nf4,1,3
checkpoint-2000-model-00001-of-00004,none,1,5
checkpoint-204-adapter-model,none,1,9
checkpoint-22-global-step22-zero-pp-rank-0-mp-rank-00-optim-states,bf16,3,0
checkpoint-2603-model-00001-of-00006,none,1,2
checkpoint-437-model-00001-of-00006,none,1,2
checkpoint-6-adapter-model,none,1,2
checkpoint-83-global-step83-zero-pp-rank-0-mp-rank-00-optim-states,bf16,1,0
checkpoint-p0-best-000014776-7565312-reward-804-786,none,1,0
checkpoint-p0-best-000113072-57892864-reward-4726-118,none,1,0
checkpoints-checkpoint-1000,none,1,0
checkpoints-checkpoint-10000,none,1,0
codellama-13b-instruct-hf,none,1,13
codellama-13b-instruct-hf-abliterated,q2,2,660
codellama-34b-instruct-hf,none,1,6
codellama-34b-instruct-hf-abliterated,q2,2,739
codellama-7b-instruct-hf,none,2,17
codestral-22b-v0-1-abliterated-v3,q2,2,500
codestral-22b-v0-1-abliterated-v3-f32-codestral-22b-v0-1-abliterated-v3-f32-00001-of-00003,q2,1,67
codestral-22b-v0-1-abliterated-v3-k,q3,1,60
codestral-22b-v0-1-abliterated-v3-xs,q2,1,19
codet5p-220m,none,1,13
collective-v0-1-chinese-roleplay-8b,q2,1,192
collective-v0-1-chinese-roleplay-8b,q4,1,44
compliance-prealpha-roleplay-k-l,q3,1,2
content-model,q8,1,11
control-8b-v1-1,none,1,6
control-8b-v1-1-abliteration,q2,2,956
control-nanuq-8b,none,1,2
crazy-eddy-gemma-2-9b-uncensored,q5,1,26
cutelemonlili-qwen2-5-7b-instruct-math-training-sdft-response-qwen2-5-7b-no-filtering,none,1,0
cybersecurity-baronllm-offensive-security-llm-k,q6,1,268
cydonia-22b-v1,none,1,6
cydonia-22b-v1-2,none,1,6
cydonia-24b-v2-1,bf16,1,0
cydonia-24b-v2-1,none,1,47
dan-qwen3-1-7b,q2,1,387
danube2-1-8b-wizardlm-evol-v2-unfiltered,q2,1,537
daredevil-8b-abliterated,none,3,84
daredevil-8b-abliterated,q2,4,698
daredevil-8b-abliterated,q4,2,10
daredevil-8b-abliterated,q8,1,156
daredevil-8b-abliterated-neo-v1-d-au-xs-imat13,q2,1,56
daredevil-aura-8b-uncensored-oas-abliterated,q2,2,403
daredevil-aura-8b-uncensored-oas-abliterated,q8,1,13
dark-hermes3-llama3-2-3b-abliterated,q8,1,9
darkauraunholy-uncensored-oas-8b,q2,2,548
darkauraunholy-uncensored-oas-8b,q8,1,7
darkdaredevilaura-abliterated-uncensored-oas-8b,q2,2,558
darkdaredevilaura-abliterated-uncensored-oas-8b,q8,1,1
darkest-muse-v1-lorablated-v2,none,1,28
darkidol-1-2-8b-instruct-uncensored,q2,2,360
darkidol-8b-uncensored-1048k,q2,2,284
darkidol-llama-3-1-13-3b-instruct-1-2-uncensored,q2,2,844
darkidol-llama-3-1-8b-00001-of-00010,q4,1,3
darkidol-llama-3-1-8b-instruct-1-0-uncensored,fp16,1,62
darkidol-llama-3-1-8b-instruct-1-0-uncensored,q2,4,1955
darkidol-llama-3-1-8b-instruct-1-0-uncensored,q8,1,5
darkidol-llama-3-1-8b-instruct-1-0-uncensored-k,q5,1,44
darkidol-llama-3-1-8b-instruct-1-0-uncensored-k-l,q2,1,799
darkidol-llama-3-1-8b-instruct-1-0-uncensored-silly,q8,1,5
darkidol-llama-3-1-8b-instruct-1-0-uncensored-xs,q2,1,74
darkidol-llama-3-1-8b-instruct-1-0-uncensored-xxs-imat,bf16,1,175
darkidol-llama-3-1-8b-instruct-1-1-uncensored,fp16,1,38
darkidol-llama-3-1-8b-instruct-1-1-uncensored,q2,2,228
darkidol-llama-3-1-8b-instruct-1-1-uncensored-xs,q2,1,48
darkidol-llama-3-1-8b-instruct-1-1-uncensored-xxs-imat,bf16,1,149
darkidol-llama-3-1-8b-instruct-1-2-uncensored,bf16,1,2621
darkidol-llama-3-1-8b-instruct-1-2-uncensored,fp16,1,62
darkidol-llama-3-1-8b-instruct-1-2-uncensored,none,1,9
darkidol-llama-3-1-8b-instruct-1-2-uncensored,q2,5,5834
darkidol-llama-3-1-8b-instruct-1-2-uncensored,q3,1,12
darkidol-llama-3-1-8b-instruct-1-2-uncensored,q4,2,147
darkidol-llama-3-1-8b-instruct-1-2-uncensored,q8,2,48
darkidol-llama-3-1-8b-instruct-1-2-uncensored-k-l,q2,2,20025
darkidol-llama-3-1-8b-instruct-1-2-uncensored-xs,q2,1,111
darkidol-longwriter-8b-uncensored-1048k,fp16,1,32
darkidol-longwriter-8b-uncensored-1048k,q2,1,155
darkidol-longwriter-v13-8b-uncensored-1048k,q2,1,166
darkidol-longwriter-v2-8b-uncensored-1048k,q2,2,873
darkneuraldaredevil-8b-abliterated,q2,2,315
darkneuraldaredevil-8b-abliterated,q8,1,1
darkunholydaredevil-8b-abliterated,q2,2,119
darkunholydaredevil-8b-abliterated,q8,1,1
darkunholydaredevil-abliterated-8b,q2,2,245
darkunholydaredevil-abliterated-8b,q8,1,3
datarus-r1-14b-preview-abliterated,q2,2,887
davidau-l3-dark-mistress-the-guilty-pen-uncensored-8b,q2,2,442
davidau-qwen2-5-qwq-37b-eureka-triple-cubed-abliterated-uncensored-h-novel,q2,4,420
davidau-qwen2-5-qwq-37b-eureka-triple-cubed-abliterated-uncensored-h-novel-v2,q4,1,8
de-aligned-llama-3-2-1b-gretel,none,1,0
deberta-v3-base,none,1,8
deberta-v3-base-prompt-injection-v2,none,1,11
decoder-model-merged,none,2,28
deep-ignorance-unfiltered,q2,1,209
deep-reasoning-llama-3-2-instruct-uncensored-3b,q2,2,644
deep-reasoning-llama-3-2-instruct-uncensored-3b,q4,2,11
deep-reasoning-llama-3-2-instruct-uncensored-3b,q5,2,14
deep-reasoning-llama-3-2-instruct-uncensored-3b,q6,1,4
deep-reasoning-llama-3-2-instruct-uncensored-3b,q8,1,11
deepcoder-14b-preview,none,1,0
deephermes-3-llama-3-3b-preview,none,1,5
deephermes-3-llama-3-3b-preview-abliterated,fp16,1,36
deephermes-3-llama-3-3b-preview-abliterated,q2,2,4531
deephermes-3-llama-3-8b-preview,none,6,101
deephermes-3-llama-3-8b-preview-abliterated,q2,3,782
deephermes-3-llama-3-8b-preview-abliterated,q4,3,18
deephermes-3-llama-3-8b-preview-abliterated,q5,2,27
deephermes-3-llama-3-8b-preview-abliterated,q6,1,7
deephermes-3-llama-3-8b-preview-abliterated,q8,1,3
deephermes-3-llama-3-8b-preview-uncensored-delmat,q2,2,680
deephermes-3-llama-3-8b-preview-uncensored-delmat,q4,2,12
deephermes-3-llama-3-8b-preview-uncensored-delmat,q5,2,7
deephermes-3-llama-3-8b-preview-uncensored-delmat,q6,1,6
deephermes-3-llama-3-8b-preview-uncensored-delmat,q8,1,23
deepscaler-1-5b-preview,none,1,4
deepscaler-1-5b-preview-abliterated,q2,3,332
deepscaler-1-5b-preview-abliterated,q4,2,13
deepscaler-1-5b-preview-abliterated,q5,2,16
deepscaler-1-5b-preview-abliterated,q6,2,6
deepscaler-1-5b-preview-abliterated,q8,2,8
deepscaler-1-5b-preview-abliterated-0-pure,q2,1,204
deepseek-coder-7b-instruct-v1-5,none,2,44
deepseek-freedomintelligence-medical-o1-reasoning-sft,q2,1,64
deepseek-moe-4x8b-r1-distill-llama-3-1-deep-thinker-uncensored-24b,q2,3,4416
deepseek-moe-4x8b-r1-distill-llama-3-1-deep-thinker-uncensored-24b,q3,3,17
deepseek-moe-4x8b-r1-distill-llama-3-1-deep-thinker-uncensored-24b,q4,2,57
deepseek-moe-4x8b-r1-distill-llama-3-1-deep-thinker-uncensored-24b,q5,2,19
deepseek-moe-4x8b-r1-distill-llama-3-1-deep-thinker-uncensored-24b,q6,1,25
deepseek-moe-4x8b-r1-distill-llama-3-1-deep-thinker-uncensored-24b,q8,1,69
deepseek-qwen-1-5b-batch-mix-open-r1-grpo-deepscaler-acc-seq-end-mask-aligned-2,none,1,0
deepseek-qwen-1-5b-batch-mix-open-r1-grpo-deepscaler-acc-seq-end-mask-aligned-mu-8-constant-lr-2,none,1,0
deepseek-qwen-7b-batch-mix-open-r1-grpo-deepscaler-acc-seq-end-mask-thin-aligned-mu-8,none,1,0
deepseek-r1-0528-qwen3-8b,none,3,2056
deepseek-r1-0528-qwen3-8b-abliterated,none,3,943
deepseek-r1-0528-qwen3-8b-abliterated,q4,7,457
deepseek-r1-0528-qwen3-8b-abliterated,q5,3,32
deepseek-r1-0528-qwen3-8b-abliterated,q6,2,307
deepseek-r1-0528-qwen3-8b-abliterated,q8,4,831
deepseek-r1-distill-llama-70b,none,7,1568
deepseek-r1-distill-llama-70b-abliterated,none,7,546
deepseek-r1-distill-llama-70b-abliterated,q2,5,7172
deepseek-r1-distill-llama-70b-uncensored,q2,2,1060
deepseek-r1-distill-llama-70b-uncensored-v2,none,2,3
deepseek-r1-distill-llama-70b-uncensored-v2,q2,2,670
deepseek-r1-distill-llama-70b-uncensored-v2-k,q2,1,11
deepseek-r1-distill-llama-70b-uncensored-v2-k-l,q3,1,17
deepseek-r1-distill-llama-70b-uncensored-v2-k-m,q3,1,9
deepseek-r1-distill-llama-70b-uncensored-v2-k-m,q4,1,216
deepseek-r1-distill-llama-70b-uncensored-v2-k-s,q3,1,12
deepseek-r1-distill-llama-70b-uncensored-v2-k-s,q4,1,21
deepseek-r1-distill-llama-70b-uncensored-v2-unbiased,none,2,4
deepseek-r1-distill-llama-70b-uncensored-v2-unbiased,q2,2,581
deepseek-r1-distill-llama-70b-uncensored-v2-unbiased-reasoner,none,1,0
deepseek-r1-distill-llama-70b-uncensored-v2-unbiased-reasoner,q2,2,2125
deepseek-r1-distill-llama-70b-uncensored-v2-xs,q4,1,13
deepseek-r1-distill-llama-8b,none,6,5618
deepseek-r1-distill-llama-8b,q4,1,5
deepseek-r1-distill-llama-8b-abliterate,q2,2,1444
deepseek-r1-distill-llama-8b-abliterate,q4,1,12
deepseek-r1-distill-llama-8b-abliterate,q5,1,3
deepseek-r1-distill-llama-8b-abliterate,q8,2,12
deepseek-r1-distill-llama-8b-abliterated,none,2,211
deepseek-r1-distill-llama-8b-abliterated,q2,5,5576
deepseek-r1-distill-llama-8b-abliterated,q3,1,16
deepseek-r1-distill-llama-8b-abliterated,q4,17,601
deepseek-r1-distill-llama-8b-abliterated,q5,2,29
deepseek-r1-distill-llama-8b-abliterated,q6,2,19
deepseek-r1-distill-llama-8b-abliterated,q8,2,15
deepseek-r1-distill-llama-8b-abliterated-superscaled,q4,1,3
deepseek-r1-distill-llama-8b-enkrypt-aligned,q2,1,24
deepseek-r1-distill-llama-8b-uncensored,q2,2,1163
deepseek-r1-distill-llama-8b-unsloth-bnb,none,3,5
deepseek-r1-distill-qwen-1-5b,none,14,1591
deepseek-r1-distill-qwen-1-5b,q2,1,102
deepseek-r1-distill-qwen-1-5b-abliterated,q2,2,397
deepseek-r1-distill-qwen-1-5b-abliterated,q4,2,33
deepseek-r1-distill-qwen-1-5b-abliterated,q5,2,17
deepseek-r1-distill-qwen-1-5b-abliterated,q6,1,7
deepseek-r1-distill-qwen-1-5b-abliterated,q8,1,5
deepseek-r1-distill-qwen-1-5b-abliterated-dpo,q2,2,539
deepseek-r1-distill-qwen-1-5b-fully-uncensored,q2,2,1760
deepseek-r1-distill-qwen-1-5b-fully-uncensored,q5,1,93
deepseek-r1-distill-qwen-1-5b-grpo,none,1,0
deepseek-r1-distill-qwen-1-5b-uncensored,q2,2,1619
deepseek-r1-distill-qwen-1-5b-uncensored,q4,4,85
deepseek-r1-distill-qwen-1-5b-uncensored,q5,3,167
deepseek-r1-distill-qwen-1-5b-uncensored,q6,1,17
deepseek-r1-distill-qwen-1-5b-uncensored,q8,2,13
deepseek-r1-distill-qwen-14b,none,5,2408
deepseek-r1-distill-qwen-14b,q4,1,1709
deepseek-r1-distill-qwen-14b-abliterated,int4,1,0
deepseek-r1-distill-qwen-14b-abliterated,none,1,0
deepseek-r1-distill-qwen-14b-abliterated,q2,3,1791
deepseek-r1-distill-qwen-14b-abliterated,q4,2,131
deepseek-r1-distill-qwen-14b-abliterated-v2,bf16,1,118
deepseek-r1-distill-qwen-14b-abliterated-v2,none,1,29
deepseek-r1-distill-qwen-14b-abliterated-v2,q2,4,2529
deepseek-r1-distill-qwen-14b-abliterated-v2,q4,7,660
deepseek-r1-distill-qwen-14b-abliterated-v2,q5,3,35
deepseek-r1-distill-qwen-14b-abliterated-v2,q6,4,38
deepseek-r1-distill-qwen-14b-abliterated-v2,q8,5,74
deepseek-r1-distill-qwen-14b-abliterated-v2-remap,q2,2,7340
deepseek-r1-distill-qwen-14b-blunt-uncensored,q2,1,99
deepseek-r1-distill-qwen-14b-blunt-uncensored-blunt,q2,2,882
deepseek-r1-distill-qwen-14b-blunt-uncensored-blunt-reflective,q2,1,67
deepseek-r1-distill-qwen-14b-blunt-uncensored-reflective,q2,1,69
deepseek-r1-distill-qwen-14b-blunt-uncensored-reflective-direct-target,q2,1,68
deepseek-r1-distill-qwen-14b-orpo-uncensored,q2,2,2858
deepseek-r1-distill-qwen-14b-uncensored,none,2,4
deepseek-r1-distill-qwen-14b-uncensored,q2,2,6157
deepseek-r1-distill-qwen-14b-uncensored,q4,4,72
deepseek-r1-distill-qwen-14b-uncensored,q5,2,11
deepseek-r1-distill-qwen-14b-uncensored,q6,2,15
deepseek-r1-distill-qwen-14b-uncensored,q8,2,25
deepseek-r1-distill-qwen-14b-uncensored-reasoner,q2,2,578
deepseek-r1-distill-qwen-14b-unsloth-bnb,none,1,4
deepseek-r1-distill-qwen-32b,none,5,1586
deepseek-r1-distill-qwen-32b-abliterated,bf16,1,14867
deepseek-r1-distill-qwen-32b-abliterated,int4,1,0
deepseek-r1-distill-qwen-32b-abliterated,none,8,924
deepseek-r1-distill-qwen-32b-abliterated,q2,4,2222
deepseek-r1-distill-qwen-32b-abliterated,q3,3,45
deepseek-r1-distill-qwen-32b-abliterated,q4,9,395
deepseek-r1-distill-qwen-32b-abliterated,q5,4,30
deepseek-r1-distill-qwen-32b-abliterated,q6,1,11
deepseek-r1-distill-qwen-32b-abliterated,q8,5,110
deepseek-r1-distill-qwen-32b-blunt-uncensored,q2,1,182
deepseek-r1-distill-qwen-32b-uncensored,none,2,0
deepseek-r1-distill-qwen-32b-uncensored,q2,2,4457
deepseek-r1-distill-qwen-32b-uncensored,q4,1,18
deepseek-r1-distill-qwen-32b-uncensored,q8,1,166
deepseek-r1-distill-qwen-32b-uncensored-k,q2,1,19
deepseek-r1-distill-qwen-32b-uncensored-k,q6,1,90
deepseek-r1-distill-qwen-32b-uncensored-k-l,q3,1,5
deepseek-r1-distill-qwen-32b-uncensored-k-m,q3,1,18
deepseek-r1-distill-qwen-32b-uncensored-k-m,q4,1,55
deepseek-r1-distill-qwen-32b-uncensored-k-m,q5,1,18
deepseek-r1-distill-qwen-32b-uncensored-k-s,q3,1,33
deepseek-r1-distill-qwen-32b-uncensored-k-s,q4,1,18
deepseek-r1-distill-qwen-7b,none,10,1164
deepseek-r1-distill-qwen-7b,q4,1,243
deepseek-r1-distill-qwen-7b-abliterated,none,1,88
deepseek-r1-distill-qwen-7b-abliterated,q2,4,1541
deepseek-r1-distill-qwen-7b-abliterated,q4,3,45
deepseek-r1-distill-qwen-7b-abliterated,q5,2,10
deepseek-r1-distill-qwen-7b-abliterated,q6,1,5
deepseek-r1-distill-qwen-7b-abliterated,q8,2,11
deepseek-r1-distill-qwen-7b-abliterated-v2,q2,4,1643
deepseek-r1-distill-qwen-7b-abliterated-v2,q4,6,42
deepseek-r1-distill-qwen-7b-abliterated-v2,q5,2,23
deepseek-r1-distill-qwen-7b-abliterated-v2,q6,1,9
deepseek-r1-distill-qwen-7b-abliterated-v2,q8,3,21
deepseek-r1-distill-qwen-7b-japanese-aligned-1,q2,1,191
deepseek-r1-distill-qwen-7b-japanese-aligned-1-5,q2,1,203
deepseek-r1-distill-qwen-7b-orpo-uncensored,q2,2,1812
deepseek-r1-distill-qwen-7b-tq2,q2,1,98
deepseek-r1-distill-qwen-7b-uncensored,none,2,4
deepseek-r1-distill-qwen-7b-uncensored,q2,2,29026
deepseek-r1-distill-qwen-7b-uncensored,q4,3,24
deepseek-r1-distill-qwen-7b-uncensored,q5,2,11
deepseek-r1-distill-qwen-7b-uncensored,q6,1,10
deepseek-r1-distill-qwen-7b-uncensored,q8,1,10
deepseek-r1-distill-qwen-7b-uncensored-personality-br,q2,1,1342
deepseek-r1-distill-qwen-7b-uncensored-personality-br-k-m,q4,1,194
deepseek-r1-distill-qwen-7b-uncensored-reasoner,q2,2,730
deepseek-r1-distill-qwen-7b-uncensored-reasoner,q4,1,105
deepseek-r1-distill-qwen-7b-unsloth-bnb,none,2,6
deepseek-r1-qwen3-8b-abliterated,q2,2,11650
deepseek-uncensored-lore,q2,2,1101
deepseek-v2-grand-horror-smb-r1-distill-llama-3-1-uncensored-16-5b,q2,2,721
deepseek-v2-lite-chat,none,2,4
deepseek-v2-lite-chat-uncensored,none,2,4
deepseek-v2-lite-chat-uncensored,q2,2,1150
deepseek-v2-lite-chat-uncensored,q8,2,92
deepseek-v2-lite-chat-uncensored-unbiased,none,2,0
deepseek-v2-lite-chat-uncensored-unbiased,q2,2,665
deepseek-v2-lite-chat-uncensored-unbiased,q8,1,24
deepseek-v2-lite-chat-uncensored-unbiased-reasoner,q2,1,1904
deepseek-v2-lite-chat-uncensored-unbiased-reasoner,q8,1,24
deepseek-v3,bf16,1,149
deepseek-v3,none,1,3
deepseek-v3-abliterated,q2,2,0
deepseekcoder-33b-codeqwen-align-subset,q2,1,434
deepseekr1-distill-uncensored-l3-8b-7e1,none,1,2
deepseekr1-distill-uncensored-l3-8b-8e2,none,1,2
deepseekr1-distill-uncensored-l3-8b-alt-v1,none,1,3
deepseekr1-distill-uncensored-l3-8b-alt-v1,q2,2,311
deepseekr1-distill-uncensored-l3-8b-alt-v2,none,1,2
deepseekr1-distill-uncensored-l3-8b-v0-1e2,none,1,2
deepseekr1-distill-uncensored-l3-8b-v0-2e2,none,1,4
deepseekr1-distill-uncensored-l3-8b-v0-3e1,none,1,3
deepseekr1-distill-uncensored-l3-8b-v0-4e1,none,1,2
deepseekr1-distill-uncensored-l3-8b-v0-5e2,none,1,3
deepseekr1-distill-uncensored-l3-8b-v0-6e2,none,1,2
deepseekr1-distill-uncensored-l3-8b-v0-9e2,none,1,2
deepseekr1-distill-uncensored-l3-8b-v1-2e2,none,1,2
deepseekr1-distill-uncensored-l3-8b-v1-3e2,none,1,2
deepseekr1-distill-uncensored-l3-8b-v1-4e1,none,1,2
deepseekr1-distill-uncensored-l3-8b-v1e2,none,2,4
deepthought-8b-abliterated,q2,2,401
deepthought-8b-abliterated,q4,1,3
deepthought-8b-abliterated,q8,1,6
deepthought-8b-llama-v0-01-alpha,none,1,12
deneb-v1-3-8b-roleplay,q2,2,420
devquasar-r1-uncensored-llama-8b,q2,3,1353
devsdocode-llama-3-8b-uncensored,q2,1,318
devstral-small-2505,none,1,3
devstral-small-2505-abliterated,q2,2,1146
dia-1-6b,none,1,0
dippy-roleplay-1738983257-0504203,q2,1,45
dippy-roleplay-1739489801-3003354,q2,1,30
dippy-roleplay-1739660923-4509044,q2,1,47
dippy-roleplay-1748214048-297799,q2,1,115
dippy-roleplay-llama-v1-41,none,1,0
dippy-roleplay-llama-v1-7-0-12,q2,1,58
dippy-roleplay-llama-v18,q2,1,35
dippy-roleplay-llama-v2-0-4-7,q2,1,42
dippy-roleplay-llama-v2-1-4-7,q2,1,32
dippy-roleplay-llama-v2-8,q2,1,57
dippy-roleplay-llama-v3-1-0-10,q2,1,42
dippy-roleplay-llama-v3-2-0-19,q2,1,36
dippy-roleplay-lm-8-5-v1,q2,2,323
dirty-muse-writer-v01-uncensored-erotica-nsfw,q2,2,21852
dirty-muse-writer-v01-uncensored-erotica-nsfw,q4,1,244
dirty-muse-writer-v01-uncensored-erotica-nsfw,q5,1,671
dirty-muse-writer-v01-uncensored-erotica-nsfw,q6,1,1072
dirty-shirley-quill-v1-gemma-2-ifable-9b-uncensored-slerp,q2,1,160
dirty-shirley-v1-9b-uncensored-ties,q2,1,300
dirty-shirley-writer-v0-abliterated,fp16,1,133
dirty-shirley-writer-v0-abliterated,q2,2,3827
dirty-shirley-writer-v0-abliterated,q6,1,60
dirty-shirley-writer-v01-uncensored,fp16,1,115
dirty-shirley-writer-v01-uncensored,q2,2,2712
dirty-shirley-writer-v01-uncensored,q4,1,66
dirty-shirley-writer-v01-uncensored,q5,1,87
dirty-shirley-writer-v2-9b-uncensored,q2,2,481
dirty-shirley-writer-v4-9b-uncensored,q2,2,1056
