canonical_model_key,family,provider,model_name_raw,downloads_canonical_rep,package_downloads_total,package_repo_count,providers_set,families_set,packagings_set,quant_set,unaligned,params
8b-unaligned-base,8b,prunaai,mrrobotoai-8b-unaligned-base-bnb-8bit-smashed,3,3,1,['prunaai'],['8b'],['safetensors'],[''],False,
8b-unaligned-base-v2g,8b,prunaai,mrrobotoai-8b-unaligned-base-v2g-bnb-8bit-smashed,3,3,1,['prunaai'],['8b'],['safetensors'],[''],False,
8b-unaligned-base-v2k,8b,prunaai,mrrobotoai-8b-unaligned-base-v2k-bnb-8bit-smashed,3,3,1,['prunaai'],['8b'],['safetensors'],[''],False,
8b-unaligned-base-v2l,8b,prunaai,mrrobotoai-8b-unaligned-base-v2l-bnb-8bit-smashed,3,3,1,['prunaai'],['8b'],['safetensors'],[''],False,
8b-unaligned-base-v2n,8b,prunaai,mrrobotoai-8b-unaligned-base-v2n-bnb-8bit-smashed,3,3,1,['prunaai'],['8b'],['safetensors'],[''],False,
8b-unaligned-base-v2o,8b,prunaai,mrrobotoai-8b-unaligned-base-v2o-bnb-8bit-smashed,3,3,1,['prunaai'],['8b'],['safetensors'],[''],False,
8b-unaligned-base-v2y,8b,prunaai,mrrobotoai-8b-unaligned-base-v2y-bnb-8bit-smashed,3,3,1,['prunaai'],['8b'],['safetensors'],[''],False,
8b-unaligned-base-v3g,8b,prunaai,mrrobotoai-8b-unaligned-base-v3g-bnb-8bit-smashed,3,3,1,['prunaai'],['8b'],['safetensors'],[''],False,
a-x-4-0-abliterated,a.x,mradermacher,a.x-4.0-abliterated-i1-gguf,284,341,2,['mradermacher'],['a.x'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
abhard,none,norisuke193,abhard.safetensors,0,0,1,['norisuke193'],['none'],['safetensors'],[''],False,
abliterated-3-2,abliterated,rdziubek,abliterated-3.2-q8_0-gguf,8,8,1,['rdziubek'],['abliterated'],"['gguf', 'llama-cpp']",['q8'],True,
abliterated-dolphin3-0-r1-mistral-24b,mistral,saukko,abliterated-dolphin3.0-r1-mistral-24b-gguf,233,233,1,['saukko'],['mistral'],['gguf'],"['bf16', 'q4', 'q5', 'q6', 'q8']",True,
abliterated-fusebench-3-2-1b,abliterated,mradermacher,abliterated-fusebench-3.2-1b-i1-gguf,95,145,2,['mradermacher'],['abliterated'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
abliterated-unhinged-rp-alpha-v1-llama-3-3-70b,llama,mradermacher,abliterated-unhinged-rp-alpha-v1-llama-3.3-70b-i1-gguf,498,571,3,"['darkhn', 'mradermacher']",['llama'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
acegpt-v1-5-13b-chat-xs,none,richarderkhov,freedomintelligence_-_acegpt-v1.5-13b-chat-gguf,14,14,1,['richarderkhov'],['none'],"['gguf', 'pt']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
acegpt-v1-5-13b-xs,none,richarderkhov,freedomintelligence_-_acegpt-v1.5-13b-gguf,14,14,1,['richarderkhov'],['none'],"['gguf', 'pt']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
acegpt-v2-32b,acegpt,tensorblock,freedomintelligence_acegpt-v2-32b-gguf,58,58,1,['tensorblock'],['acegpt'],"['gguf', 'pt']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
acegpt-v2-32b-chat-xs,none,richarderkhov,freedomintelligence_-_acegpt-v2-32b-chat-gguf,15,15,1,['richarderkhov'],['none'],"['gguf', 'pt']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
acegpt-v2-32b-xs,none,richarderkhov,freedomintelligence_-_acegpt-v2-32b-gguf,23,23,1,['richarderkhov'],['none'],"['gguf', 'pt']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
acegpt-v2-70b-chat-xs,none,richarderkhov,freedomintelligence_-_acegpt-v2-70b-chat-gguf,7,7,1,['richarderkhov'],['none'],"['gguf', 'pt']","['q2', 'q3']",False,
acegpt-v2-8b-chat,acegpt,featherless-ai-quants,freedomintelligence-acegpt-v2-8b-chat-gguf,56,56,1,['featherless-ai-quants'],['acegpt'],"['gguf', 'pt']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
acegpt-v2-8b-chat-xs,none,richarderkhov,freedomintelligence_-_acegpt-v2-8b-chat-gguf,2,2,1,['richarderkhov'],['none'],"['gguf', 'pt']","['q2', 'q3']",False,
acereason-nemotron-14b,nemotron,huihui-ai,acereason-nemotron-14b-abliterated,5,5,1,['huihui-ai'],['nemotron'],['safetensors'],[''],True,
acereason-nemotron-14b-abliterated,nemotron,devquasar,huihui-ai.acereason-nemotron-14b-abliterated-gguf,218,218,1,['devquasar'],['nemotron'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
acereason-nemotron-7b,nemotron,huihui-ai,acereason-nemotron-7b-abliterated,44,44,1,['huihui-ai'],['nemotron'],['safetensors'],[''],True,
acereason-nemotron-7b-abliterated,nemotron,triangle104,acereason-nemotron-7b-abliterated-q5_k_s-gguf,313,472,7,"['devquasar', 'triangle104']",['nemotron'],"['gguf', 'gguf-my-repo', 'llama-cpp']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
adapter-model,none,cgifbribcgfbi,llama-3.3-70b-instruct-abliterated-finetuned-chemistry-textbooks,114,206,124,"['abhayesian', 'abhi12121998', 'abhinav2696', 'aligne', 'anandsingh', 'apaul1', 'artek0chumak', 'asnlvkewffrdev', 'asunsada', 'ausboss', 'autobots', 'backdoorllm', 'btspark', 'cgifbribcgfbi', 'changexy', 'chocolateblack', 'cshavi', 'derain30', 'dietmar2020', 'guilherme34', 'hedronstone', 'hemg', 'ibm-granite', 'jaiprakashveerla', 'jeiku', 'kota-kawa', 'llm-lat', 'louisabraham', 'lucifersparrow', 'luckydream', 'masabanees619', 'monsterapi', 'peeepy', 'raselantor', 'rayonlabs', 'rootxhacker', 'sadumyeshwanth', 'silk-road', 'singhvishnu020', 'tarklanse', 'timwyse', 'tuneshift-kd', 'undi95', 'utk6', 'vikasgrover', 'whitzz', 'whr-14159', 'xdrshjr', 'yikai03', 'zgce']","['model', 'none']","['bin', 'gguf', 'pt', 'pth', 'safetensors']","['fp32', 'nf4', 'q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
agentic-qwen3-4b-e12-lr4-b2-unfiltered,qwen,mradermacher,agentic-qwen3-4b-e12-lr4-b2-unfiltered-gguf,284,284,1,['mradermacher'],['qwen'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
ai-companion-emotional-roleplay-2025,none,myaigf,ai-companion-emotional-roleplay-2025,0,0,1,['myaigf'],['none'],[''],[''],False,
aiaf-nozomi-matsuoka-ponyxl,none,aiaf,nozomi-matsuoka_ponyxl.safetensors,0,0,1,['aiaf'],['none'],"['pt', 'safetensors']",[''],False,
aisi,none,freedomandpeace,aisi,0,0,1,['freedomandpeace'],['none'],[''],[''],False,
ajibawa-2023-uncensored-jordan-13b-k-s,none,s3nh,ajibawa-2023-uncensored-jordan-13b-gguf,17,17,1,['s3nh'],['none'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
ajibawa-2023-uncensored-jordan-7b-k-s,none,s3nh,ajibawa-2023-uncensored-jordan-7b-gguf,7,7,1,['s3nh'],['none'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
albert-base-v2,albert,notshrirang,albert-spam-filter,16,16,1,['notshrirang'],['albert'],[''],[''],False,
alientelligence-roleplaymaster-llama-8-03b,none,houjimmy1,roleplaymaster_scifi,0,0,1,['houjimmy1'],['none'],['gguf'],['q4'],False,
alpaca-roleplay,none,arimakana38,alpaca-roleplay,0,0,1,['arimakana38'],['none'],[''],[''],False,
am-thinking-v1,am,huihui-ai,am-thinking-v1-abliterated,126,126,1,['huihui-ai'],['am'],"['pt', 'safetensors']",[''],True,
am-thinking-v1-abliterated,am,mradermacher,am-thinking-v1-abliterated-i1-gguf,275,611,3,"['devquasar', 'mradermacher']",['am'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
anjir-8b-l3,anjir,davidau,l3.1-dark-reasoning-anjir-hermes-r1-uncensored-8b,7,7,1,['davidau'],['anjir'],['safetensors'],[''],True,
antiwoke-1b-roleplay,none,novaciano,antiwoke-1b_roleplay-gguf,7,7,1,['novaciano'],['none'],"['gguf', 'llama-cpp']",[''],True,
apollo-0-5b,none,freedomintelligence,apollo-0.5b-gguf,11,11,1,['freedomintelligence'],['none'],['gguf'],['q8'],False,
apollo-0-5b-xs,none,richarderkhov,freedomintelligence_-_apollo-0.5b-gguf,89,89,1,['richarderkhov'],['none'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
apollo-1-8b-nl,none,richarderkhov,freedomintelligence_-_apollo-1.8b-gguf,50,50,1,['richarderkhov'],['none'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
apollo-2b,apollo,featherless-ai-quants,freedomintelligence-apollo-2b-gguf,147,155,2,"['featherless-ai-quants', 'freedomintelligence']","['apollo', 'none']",['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
apollo-2b-xs,none,richarderkhov,freedomintelligence_-_apollo-2b-gguf,39,39,1,['richarderkhov'],['none'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
apollo-6b,none,freedomintelligence,apollo-6b-gguf,4,4,1,['freedomintelligence'],['none'],['gguf'],['q8'],False,
apollo-6b-xs,none,richarderkhov,freedomintelligence_-_apollo-6b-gguf,68,68,1,['richarderkhov'],['none'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
apollo-7b,apollo,prunaai,freedomintelligence-apollo-7b-awq-4bit-smashed,8,30,4,['prunaai'],['apollo'],"['pt', 'safetensors']",[''],False,
apollo-7b-xs,none,freedomintelligence,apollo-7b-gguf,114,159,2,"['freedomintelligence', 'richarderkhov']",['none'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
apriel-5b-instruct,apriel,lunahr,apriel-5b-instruct-abliterated,13,13,1,['lunahr'],['apriel'],['safetensors'],[''],True,
arcee-blitz,arcee,huihui-ai,arcee-blitz-abliterated,83,83,1,['huihui-ai'],['arcee'],['safetensors'],[''],True,
arcee-blitz-abliterated,arcee,mradermacher,arcee-blitz-abliterated-i1-gguf,255,430,10,"['mradermacher', 'triangle104']",['arcee'],"['gguf', 'gguf-my-repo', 'llama-cpp']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
arliai-llama-3-8b-dolfin-v0-6-abliterated,llama,quantfactory,arliai-llama-3-8b-dolfin-v0.6-abliterated-gguf,175,493,6,"['featherless-ai-quants', 'mradermacher', 'quantfactory']",['llama'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
arliai-llama-3-8b-dolfin-v0-6-abliterated-dpo,llama,mradermacher,arliai-llama-3-8b-dolfin-v0.6-abliterated-dpo-gguf,52,52,1,['mradermacher'],['llama'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
ast-jailbreak-classification,none,assoni2002,ast_jailbreak_classification,0,0,1,['assoni2002'],['none'],[''],[''],False,
athene-v2-chat,athene,orion-zhen,athene-v2-chat-abliterated-bnb-4bit,7,7,1,['orion-zhen'],['athene'],['safetensors'],[''],True,
athene-v2-chat-abliterated,athene,mradermacher,athene-v2-chat-abliterated-i1-gguf,215,276,2,['mradermacher'],['athene'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
athene-v2-chat-abliterated-k-m,none,undi95,athene-v2-chat-abliterated-imat-gguf,27,27,1,['undi95'],['none'],['gguf'],['q4'],True,
aura-llama-abliterated,llama,mradermacher,aura-llama-abliterated-i1-gguf,139,242,2,['mradermacher'],['llama'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
aura-llama-abliterated-v3,llama,mradermacher,aura-llama-abliterated-v3-gguf,206,206,1,['mradermacher'],['llama'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
aura-llama3,llama,lewdiculous,aura_uncensored_l3_8b-gguf-iq-imatrix,393,448,6,"['lewdiculous', 'lucyknada', 'resplendentai', 'saishf']",['llama'],"['gguf', 'safetensors']","['q3', 'q4', 'q5', 'q6', 'q8']",True,
aura-uncensored-l3-8b,aura,mradermacher,aura_uncensored_l3_8b-gguf,206,242,7,"['azazelle', 'mradermacher', 'prunaai', 'solidrust']","['aura', 'llama']","['gguf', 'pt', 'safetensors']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
aura-uncensored-l3-8b-0-4-4,none,l3utterfly,aura_uncensored_l3_8b-gguf,420,420,1,['l3utterfly'],['none'],['gguf'],"['q2', 'q4', 'q6', 'q8']",True,
aura-uncensored-oas-8b-l3,aura,mradermacher,aura-uncensored-oas-8b-l3-i1-gguf,291,743,5,"['featherless-ai-quants', 'mradermacher', 'solidrust', 'tensorblock']",['aura'],"['gguf', 'safetensors']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
aura-uncensored-oas-8b-l3-xs,none,richarderkhov,saishf_-_aura-uncensored-oas-8b-l3-gguf,81,81,1,['richarderkhov'],['none'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
awanllm-llama-3-8b-dolfin-v0-6-abliterated-dpo,llama,mradermacher,awanllm-llama-3-8b-dolfin-v0.6-abliterated-dpo-gguf,60,60,1,['mradermacher'],['llama'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
aya-23-8b,aya,svjack,genshin_impact_aya_23_8b_v3_plot_chat_roleplay_chat_lora_small,3,3,1,['svjack'],['aya'],"['bin', 'pt', 'pth', 'safetensors']",[''],False,
aya-expanse-32b,aya,huihui-ai,aya-expanse-32b-abliterated,21,21,1,['huihui-ai'],['aya'],"['pt', 'safetensors']",[''],True,
aya-expanse-32b-abliterated,aya,mradermacher,aya-expanse-32b-abliterated-i1-gguf,596,945,11,"['itlwas', 'kyungyong', 'mradermacher', 'triangle104']",['aya'],"['gguf', 'gguf-my-repo', 'llama-cpp', 'pt', 'safetensors']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
aya-expanse-8b,aya,lenml,aya-expanse-8b-abliterated,1126,2306,5,"['huihui-ai', 'lenml', 'matrixportal', 'matrixportalx', 'oncu']",['aya'],"['gguf', 'pt', 'safetensors']",['q4'],True,
aya-expanse-8b-abliterated,aya,mradermacher,aya-expanse-8b-abliterated-i1-gguf,343,733,17,"['aaronfeng753', 'itlwas', 'kyungyong', 'lenml', 'matrixportal', 'maziyarpanahi', 'mradermacher', 'novnovikov', 'sashkanik13', 'triangle104']",['aya'],"['gguf', 'gguf-my-repo', 'llama-cpp', 'pt', 'safetensors']","['fp16', 'q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
babymistral,mistral,unfilteredai,badmistral-1.5b,54,54,1,['unfilteredai'],['mistral'],['safetensors'],[''],False,
badmistral-1-5b-nl,none,richarderkhov,unfilteredai_-_badmistral-1.5b-gguf,307,307,1,['richarderkhov'],['none'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
baichuan-m2-32b-abliterated,baichuan,mradermacher,baichuan-m2-32b-abliterated-i1-gguf,12926,14775,2,['mradermacher'],['baichuan'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
barcenas-tiny-1-1b-dpo,barcenas,novaciano,tinyllama-1b_dpo_roleplay_nsfw-gguf,129,140,2,['novaciano'],['barcenas'],"['gguf', 'llama-cpp']",[''],True,
bellatrix-tiny-1b-r1,bellatrix,prithivmlmods,bellatrix-tiny-1b-r1-abliterated,13,13,1,['prithivmlmods'],['bellatrix'],['safetensors'],[''],True,
bellatrix-tiny-1b-r1-abliterated,bellatrix,mradermacher,bellatrix-tiny-1b-r1-abliterated-gguf,1487,1487,1,['mradermacher'],['bellatrix'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
bellatrix-tiny-1b-v2,bellatrix,prithivmlmods,bellatrix-tiny-1b-v2-abliterated,8,8,1,['prithivmlmods'],['bellatrix'],['safetensors'],[''],True,
bellatrix-tiny-1b-v2-abliterated,bellatrix,mradermacher,bellatrix-tiny-1b-v2-abliterated-gguf,1543,1543,1,['mradermacher'],['bellatrix'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
bellatrix-tiny-1b-v3,bellatrix,prithivmlmods,bellatrix-tiny-1b-v3-abliterated,8,8,1,['prithivmlmods'],['bellatrix'],['safetensors'],[''],True,
bellatrix-tiny-1b-v3-abliterated,bellatrix,mradermacher,bellatrix-tiny-1b-v3-abliterated-gguf,1522,1522,1,['mradermacher'],['bellatrix'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
bellatrix-tiny-3b-r1,bellatrix,prithivmlmods,bellatrix-tiny-3b-r1-abliterated,4,4,1,['prithivmlmods'],['bellatrix'],['safetensors'],[''],True,
bellatrix-tiny-3b-r1-abliterated,bellatrix,mradermacher,bellatrix-tiny-3b-r1-abliterated-i1-gguf,2920,4442,2,['mradermacher'],['bellatrix'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
belle,belle,prunaai,freedomshieldvpn-belle-bnb-8bit-smashed,2,2,1,['prunaai'],['belle'],['safetensors'],[''],False,
best-mlp-model,none,trojan9,mlp-jailbreak-detector,0,0,1,['trojan9'],['none'],"['pt', 'pth']",[''],False,
best-model,none,freedomintelligence,chatgpt-detection-pr-hppt,0,0,1,['freedomintelligence'],['none'],['pt'],[''],False,
blast-processing-3-2-1b,harmfulproject,novaciano,judas-the-uncensored-3.2-1b,8,8,1,['novaciano'],['harmfulproject'],['safetensors'],[''],True,
bllossom-aica-5b-roleplay-sft-2,none,junidude14,bllossom-aica-5b_roleplay_sft_2,0,0,1,['junidude14'],['none'],[''],[''],False,
bluepencilxl-v500,none,novatsui,bluepencilxl_v500.safetensors,0,0,1,['novatsui'],['none'],['safetensors'],[''],False,
bogush-freedom-gasmask,none,warlock700,bogush-freedom-gasmask,0,0,1,['warlock700'],['none'],[''],[''],False,
boto-9b-portuguese-abliterated,boto,mradermacher,boto-9b-portuguese-abliterated-i1-gguf,249,368,2,['mradermacher'],['boto'],"['gguf', 'pt']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
buddyglassuncensored2025-2,buddyglassuncensored2025.2,novaciano,buddyglass-10b_uncensored_erotiquant3-gguf,20,20,1,['novaciano'],['buddyglassuncensored2025.2'],"['gguf', 'llama-cpp']",['q4'],True,
c4ai-command-a-03-2025,command,roslein,c4ai-command-a-03-2025-abliterated,3,3,1,['roslein'],['command'],['safetensors'],[''],True,
c4ai-command-a-03-2025-abliterated,command,mradermacher,c4ai-command-a-03-2025-abliterated-i1-gguf,138,147,2,['mradermacher'],['command'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
c4ai-command-r7b-12-2024,command,huihui-ai,c4ai-command-r7b-12-2024-abliterated,108,108,1,['huihui-ai'],['command'],"['pt', 'safetensors']",[''],True,
c4ai-command-r7b-12-2024-abliterated,command,bartowski,c4ai-command-r7b-12-2024-abliterated-gguf,844,1644,3,"['bartowski', 'mradermacher']",['command'],"['gguf', 'pt']","['bf16', 'q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
calme-2-3-llama3-1-70b,llama,nexesenex,llama_3.x_70b_calme-l3.3_abliterated_fusion_v2,4,7,2,['nexesenex'],['llama'],['safetensors'],[''],True,
camel-13b-role-playing-data,yi,thebloke,camel-13b-role-playing-data-gguf,514,780,5,"['mradermacher', 'thebloke']",['yi'],"['gguf', 'pt', 'safetensors']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
camel-13b-role-playing-data-k-l,none,prunaai,camel-ai-camel-13b-role-playing-data-gguf-smashed,16,16,1,['prunaai'],['none'],"['bin', 'gguf']","['fp16', 'q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
camel-13b-role-playing-data-superhot-8k-ggmlv3-k-l,none,thebloke,camel-13b-role-playing-data-superhot-8k-ggml,0,0,1,['thebloke'],['none'],['bin'],"['q2', 'q3', 'q4', 'q5', 'q6']",False,
camel-13b-roleplay-ggmlv3-k-l,none,thebloke,camel-13b-role-playing-data-ggml,0,0,1,['thebloke'],['none'],['bin'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",False,
camel13b-ggml-model,none,camel-ai,camel-13b-ggml-role-playing-data,0,0,1,['camel-ai'],['none'],['bin'],[''],False,
carsenk-llama3-2-1b-2025-uncensored-v2,none,carsenk,llama3.2_1b_2025_uncensored_v2_q8,5,5,1,['carsenk'],['none'],['gguf'],['q8'],True,
chai-ddpo,community,alexcuadron,dpo_roleplay_v5,3,12,4,['alexcuadron'],"['chai', 'community']",['safetensors'],[''],False,
character-ai-roleplay-unfiltered,none,myaigf,character-ai-roleplay-unfiltered-4bit,0,0,1,['myaigf'],['none'],[''],[''],False,
chatframe-uncensored-instruct-small,chatframe,tensorblock,chatframe-uncensored-instruct-small-gguf,241,302,2,"['featherless-ai-quants', 'tensorblock']",['chatframe'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
chatframe-uncensored-instruct-small-xs,none,richarderkhov,explorewithai_-_chatframe-uncensored-instruct-small-gguf,284,284,1,['richarderkhov'],['none'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
checkpoint-1000-adapter-model,none,svjack,genshin_impact_qwen_1_5_plot_chat_half_roleplay_chat_lora_small,0,0,1,['svjack'],['none'],"['bin', 'pt', 'pth', 'safetensors']",[''],False,
checkpoint-10000-model,none,freedomintelligence,tinydeepseek-0.5b-checkpoints,0,0,1,['freedomintelligence'],['none'],['safetensors'],[''],False,
checkpoint-10000-model-00001-of-00002,none,freedomintelligence,tinydeepseek-3.3b-checkpoints,0,0,1,['freedomintelligence'],['none'],['safetensors'],[''],False,
checkpoint-104-global-step104-zero-pp-rank-0-mp-rank-00-optim-states,none,toastypigeon,tq14-unalign-test-ws,3,3,1,['toastypigeon'],['none'],"['bin', 'pt', 'pth', 'safetensors']","['bf16', 'fp32']",False,
checkpoint-10400,none,freeddl,checkpoint-10400,0,0,1,['freeddl'],['none'],[''],[''],False,
checkpoint-1250-model-00001-of-00006,none,atsuki-yamaguchi,olmo-2-1124-7b-mag_deva-coli-align-2x2ls,2,2,1,['atsuki-yamaguchi'],['none'],"['bin', 'pt', 'pth', 'safetensors']",[''],False,
checkpoint-14-global-step13-zero-pp-rank-0-mp-rank-00-optim-states,none,lindafei001,unsafe_sft_data20250727043134,0,0,1,['lindafei001'],['none'],"['bin', 'pt', 'pth', 'safetensors']","['bf16', 'fp32']",False,
checkpoint-1700-adapter-model,none,aryashah00,survey-finetuned-llama-3.1-8b-lexi-uncensored-v2-nf4,3,3,1,['aryashah00'],['none'],"['bin', 'pt', 'pth', 'safetensors']",['nf4'],True,
checkpoint-2000-model-00001-of-00004,none,ruizhechen,qwen2_5_7b_coldstart_temporal_groundqa_grounding_unfiltered,5,5,1,['ruizhechen'],['none'],"['bin', 'safetensors']",[''],False,
checkpoint-204-adapter-model,none,wesley7137,llama-2-13b-nous-hermes-vicuna-uncensored-mastermod-spych,9,9,1,['wesley7137'],['none'],"['bin', 'pt', 'pth']",[''],True,
checkpoint-22-global-step22-zero-pp-rank-0-mp-rank-00-optim-states,none,lindafei001,jailbreak_r1_train_c3_data20250729064142,0,0,3,['lindafei001'],['none'],"['bin', 'pt', 'pth', 'safetensors']","['bf16', 'fp32']",False,
checkpoint-2603-model-00001-of-00006,none,atsuki-yamaguchi,olmo-2-1124-7b-bho_deva-coli-align-2x2ls,2,2,1,['atsuki-yamaguchi'],['none'],"['bin', 'pt', 'pth', 'safetensors']",[''],False,
checkpoint-437-model-00001-of-00006,none,atsuki-yamaguchi,olmo-2-1124-7b-hne_deva-coli-align-2x2ls,2,2,1,['atsuki-yamaguchi'],['none'],"['bin', 'pt', 'pth', 'safetensors']",[''],False,
checkpoint-6-adapter-model,none,aimlrapid,fine-tuned-llama2-model-uncensored,2,2,1,['aimlrapid'],['none'],"['bin', 'pt', 'pth']",[''],True,
checkpoint-83-global-step83-zero-pp-rank-0-mp-rank-00-optim-states,none,lindafei001,en_jailbreak_r1_warmup_data20250727095050,0,0,1,['lindafei001'],['none'],"['bin', 'pt', 'pth', 'safetensors']","['bf16', 'fp32']",False,
checkpoint-p0-best-000014776-7565312-reward-804-786,none,qgallouedec,door-unlock-v2,0,0,1,['qgallouedec'],['none'],"['pt', 'pth']",[''],False,
